,timestamp,equity,profit_loss,profit_loss_pct,base_value,base_value_asof,timeframe
46,1713603000,99998.70000000001,-1.3000000000029104,1.0,100000.0,2024-04-18,5Min
47,1713603300,99998.26000000001,-1.7400000000052387,1.0,100000.0,2024-04-18,5Min
48,1713603600,99997.91,-2.0899999999965075,1.0,100000.0,2024-04-18,5Min
49,1713603900,99997.32,-2.679999999993015,1.0,100000.0,2024-04-18,5Min
50,1713604200,99997.54999999999,-2.4499999999970896,1.0,100000.0,2024-04-18,5Min
51,1713604500,99997.54999999999,-2.4499999999970896,1.0,100000.0,2024-04-18,5Min
52,1713604800,99997.54999999999,-2.4499999999970896,1.0,100000.0,2024-04-18,5Min
53,1713605100,99997.54999999999,-2.4499999999970896,1.0,100000.0,2024-04-18,5Min
54,1713605400,99997.54999999999,-2.4499999999970896,1.0,100000.0,2024-04-18,5Min
55,1713605700,99997.54999999999,-2.4499999999970896,1.0,100000.0,2024-04-18,5Min
56,1713606000,99997.54999999999,-2.4499999999970896,1.0,100000.0,2024-04-18,5Min
57,1713606300,99997.54999999999,-2.4499999999970896,1.0,100000.0,2024-04-18,5Min
58,1713606600,99997.45000000001,-2.5500000000029104,1.0,100000.0,2024-04-18,5Min
59,1713606900,99996.68,-3.320000000006985,1.0,100000.0,2024-04-18,5Min
60,1713607200,99997.98000000001,-2.0200000000040745,1.0,100000.0,2024-04-18,5Min
61,1713607500,99998.45999999999,-1.5399999999935972,1.0,100000.0,2024-04-18,5Min
62,1713607800,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
63,1713608100,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
64,1713608400,99998.57,-1.429999999993015,1.0,100000.0,2024-04-18,5Min
65,1713608700,99998.57,-1.429999999993015,1.0,100000.0,2024-04-18,5Min
66,1713609000,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
67,1713609300,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
68,1713609600,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
69,1713609900,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
70,1713610200,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
71,1713610500,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
72,1713610800,99998.57999999999,-1.4199999999982538,1.0,100000.0,2024-04-18,5Min
73,1713611100,99998.29999999999,-1.6999999999970896,1.0,100000.0,2024-04-18,5Min
74,1713611400,99998.63,-1.3699999999953434,1.0,100000.0,2024-04-18,5Min
75,1713611700,99998.63,-1.3699999999953434,1.0,100000.0,2024-04-18,5Min
76,1713612000,99998.82,-1.179999999993015,1.0,100000.0,2024-04-18,5Min
77,1713612300,99998.82,-1.179999999993015,1.0,100000.0,2024-04-18,5Min
78,1713612600,99998.42000000001,-1.5800000000017462,1.0,100000.0,2024-04-18,5Min
79,1713612900,99998.07,-1.929999999993015,1.0,100000.0,2024-04-18,5Min
80,1713613200,99998.32999999999,-1.6699999999982538,1.0,100000.0,2024-04-18,5Min
81,1713613500,99997.82999999999,-2.1699999999982538,1.0,100000.0,2024-04-18,5Min
82,1713613800,99997.98000000001,-2.0200000000040745,1.0,100000.0,2024-04-18,5Min
83,1713614100,99998.1,-1.8999999999941792,1.0,100000.0,2024-04-18,5Min
