,trade,price,time,log
55,sell,63632.44,1713607259.9946477,sell at 63632.44 at 1713607259.9946477
56,sell,63632.44,1713607321.2179265,sell at 63632.44 at 1713607321.2179265
57,sell,63632.44,1713607382.4242406,sell at 63632.44 at 1713607382.4242406
58,sell,63672.98,1713607504.5788453,sell at 63672.98 at 1713607504.5788453
59,sell,63724.68,1713609936.4540064,sell at 63724.68 at 1713609936.4540064
60,sell,63724.68,1713609996.9888942,sell at 63724.68 at 1713609996.9888942
61,buy,63578.88,1713610847.2387857,buy at 63578.88 at 1713610847.2387857
62,buy,63578.88,1713610909.0643027,buy at 63578.88 at 1713610909.0643027
63,sell,63801.92,1713611758.3650258,sell at 63801.92 at 1713611758.3650258
64,sell,63801.92,1713611820.2142153,sell at 63801.92 at 1713611820.2142153
65,sell,63933.12,1713612062.70282,sell at 63933.12 at 1713612062.70282
66,buy,63838.33,1713612367.138492,buy at 63838.33 at 1713612367.138492
67,buy,63838.33,1713612428.9929278,buy at 63838.33 at 1713612428.9929278
68,buy,63697.65,1713612672.8017569,buy at 63697.65 at 1713612672.8017569
69,buy,63697.65,1713612734.7138567,buy at 63697.65 at 1713612734.7138567
70,buy,63697.65,1713612796.5690076,buy at 63697.65 at 1713612796.5690076
71,sell,63782.36,1713616922.086001,sell at 63782.36 at 1713616922.086001
72,sell,63782.36,1713616982.689099,sell at 63782.36 at 1713616982.689099
73,sell,63782.36,1713617043.2884254,sell at 63782.36 at 1713617043.2884254
74,sell,63782.36,1713617103.8421795,sell at 63782.36 at 1713617103.8421795
75,sell,63865.86,1713617225.2989788,sell at 63865.86 at 1713617225.2989788
76,sell,63898.3,1713617831.49479,sell at 63898.3 at 1713617831.49479
77,sell,63934.82,1713618134.564649,sell at 63934.82 at 1713618134.564649
78,sell,63946.97,1713619649.846771,sell at 63946.97 at 1713619649.846771
79,sell,64008.96,1713620559.317375,sell at 64008.96 at 1713620559.317375
80,sell,64008.96,1713620619.9120612,sell at 64008.96 at 1713620619.9120612
81,buy,63889.03,1713620864.1756506,buy at 63889.03 at 1713620864.1756506
82,buy,63889.03,1713620926.1839094,buy at 63889.03 at 1713620926.1839094
83,buy,63889.03,1713620988.0469658,buy at 63889.03 at 1713620988.0469658
84,buy,63889.03,1713621050.123167,buy at 63889.03 at 1713621050.123167
85,buy,63886.65,1713621172.865562,buy at 63886.65 at 1713621172.865562
86,buy,63829.85,1713623296.7423444,buy at 63829.85 at 1713623296.7423444
87,buy,63788.68,1713623601.2132058,buy at 63788.68 at 1713623601.2132058
88,buy,64646.34,1713629074.6840565,buy at 64646.34 at 1713629074.6840565
89,buy,64646.34,1713629136.6813278,buy at 64646.34 at 1713629136.6813278
90,buy,64646.34,1713629198.6655478,buy at 64646.34 at 1713629198.6655478
91,buy,64494.03,1713629381.9660714,buy at 64494.03 at 1713629381.9660714
92,buy,64494.03,1713629443.8563676,buy at 64494.03 at 1713629443.8563676
93,sell,64618.83,1713629686.9784153,sell at 64618.83 at 1713629686.9784153
94,sell,64618.83,1713629748.2619517,sell at 64618.83 at 1713629748.2619517
95,sell,64849.05,1713629991.3814487,sell at 64849.05 at 1713629991.3814487
96,sell,64849.05,1713630052.566516,sell at 64849.05 at 1713630052.566516
97,sell,64849.05,1713630114.470333,sell at 64849.05 at 1713630114.470333
98,sell,64941.92,1713632722.2562008,sell at 64941.92 at 1713632722.2562008
99,sell,65170.06,1713633025.6401627,sell at 65170.06 at 1713633025.6401627
100,sell,65170.06,1713633086.257468,sell at 65170.06 at 1713633086.257468
101,sell,65170.06,1713633146.8918667,sell at 65170.06 at 1713633146.8918667
