ADX:25 ATR: 1.5,73041.11,0,-398580.63,0.183253035,,,,,,ADX:40 ATR: 0.5,164305.72,0,-955725.21,0.171917323,,ADX:50 ATR: 2,65527.74,0,-591728.15,0.110739602
ADX:50 ATR: 2,111666.68,0,-591728.15,0.188712807,,,,,,ADX:25 ATR: 1,76128.84,0,-442613.86,0.171998319,,ADX:50 ATR: 2.5,56844.05,0,-512143.88,0.110992345
ADX:25 ATR: 1,86252.19,0,-442613.86,0.194870061,,,,,,ADX:30 ATR: 3,48120.16,0,-276100.78,0.174284767,,ADX:40 ATR: 2,64778.23,0,-574593.13,0.112737564
ADX:40 ATR: 0.5,186592.27,0,-955725.21,0.195236317,,,,,,ADX:30 ATR: 2.5,57176.7,0,-322855.07,0.17709711,,ADX:40 ATR: 2.5,46807.54,0,-406974.92,0.115013328
ADX:40 ATR: 1.5,113289.55,0,-569670.81,0.198868448,,,,,,ADX:40 ATR: 1.5,101836.51,0,-569670.81,0.178763785,,ADX:35 ATR: 3,46721.99,0,-368784.04,0.126692007
ADX:30 ATR: 2,82051.4,0,-409854.49,0.200196416,,,,,,ADX:35 ATR: 3,66145.6,0,-368784.04,0.179361341,,ADX:35 ATR: 0.5,124224.13,0,-966202.46,0.128569462
ADX:35 ATR: 3,74347.05,0,-368784.04,0.201600509,,,,,,ADX:30 ATR: 2,75103.28,0,-409854.49,0.183243765,,ADX:35 ATR: 1,77083.33,0,-598109.22,0.128878351
ADX:35 ATR: 0.5,215010.58,0,-966202.46,0.222531601,,,,,,ADX:35 ATR: 0.5,200826.71,0,-966202.46,0.207851582,,ADX:50 ATR: 1.5,84546.47,0,-644319.26,0.131218288
ADX:35 ATR: 2.5,85350.19,0,-368339.43,0.231716137,,,,,,ADX:35 ATR: 2.5,76803.58,0,-368339.43,0.208513055,,ADX:50 ATR: 3,71036.54,0,-540255.2,0.131487008
ADX:35 ATR: 1,144886.79,0,-598109.22,0.242241359,,,,,,ADX:30 ATR: 1,95997.43,0,-442849.21,0.216772273,,ADX:30 ATR: 1,59578.86,0,-442849.21,0.13453532
ADX:30 ATR: 1,108994.74,0,-442849.21,0.246121564,,,,,,ADX:35 ATR: 1,133917.13,0,-598109.22,0.223900795,,ADX:45 ATR: 1.5,83971.73,0,-623203.06,0.134742166
ADX:45 ATR: 1.5,159330.82,0,-623203.06,0.255664374,,,,,,ADX:45 ATR: 0.5,214328.93,0,-955476.82,0.224316201,,ADX:40 ATR: 3,50298.59,0,-360403,0.139562074
ADX:35 ATR: 1.5,125729.94,0,-478740.15,0.262626688,,,,,,ADX:35 ATR: 1.5,108788.68,0,-478740.15,0.227239516,,ADX:40 ATR: 1.5,86766.45,0,-569670.81,0.152309805
ADX:30 ATR: 0.5,163343.45,0,-620949.43,0.263054352,,,,,,ADX:30 ATR: 0.5,141839.34,0,-620949.43,0.228423336,,ADX:35 ATR: 2.5,58885.49,0,-368339.43,0.159867462
ADX:35 ATR: 2,105544.65,0,-399613.2,0.264117026,,,,,,ADX:50 ATR: 1.5,147769.2,0,-644319.26,0.229341584,,ADX:30 ATR: 1.5,60190.37,0,-372379.16,0.161637321
ADX:50 ATR: 1.5,180005.18,0,-644319.26,0.279372651,,,,,,ADX:45 ATR: 1.5,144672.94,0,-623203.06,0.232144143,,ADX:50 ATR: 0.5,202035.46,0,-1177185.05,0.171625914
ADX:45 ATR: 0.5,263533.4,0,-925322.48,0.284801683,,,,,,ADX:35 ATR: 2,93964.77,0,-399613.2,0.235139305,,ADX:35 ATR: 1.5,84567.28,0,-478740.15,0.176645472
ADX:30 ATR: 1.5,106599.47,0,-372379.16,0.286265939,,,,,,ADX:50 ATR: 0.5,300709.46,0,-1177185.05,0.255447909,,ADX:45 ATR: 0.5,164614.82,0,-925322.48,0.177899947
ADX:50 ATR: 0.5,343617.36,0,-1177185.05,0.291897489,,,,,,ADX:30 ATR: 1.5,96384.84,0,-372379.16,0.258835215,,ADX:35 ATR: 2,71241.02,0,-399613.2,0.178274942
ADX:50 ATR: 1,245263.65,0,-728702.6,0.336575786,,,,,,ADX:50 ATR: 1,224623.5,0,-728702.6,0.308251267,,ADX:50 ATR: 1,163212.2,0,-728702.6,0.223976421
ADX:40 ATR: 1,220547.83,0,-584478.24,0.377341387,,,,,,ADX:40 ATR: 1,210408.26,0,-584478.24,0.359993316,,ADX:45 ATR: 1,142725.32,0,-613334.36,0.232703937
ADX:45 ATR: 1,269679.24,0,-613334.36,0.439693677,,,,,,ADX:45 ATR: 1,250837.02,0,-613334.36,0.408972718,,ADX:40 ATR: 1,145964.37,0,-584478.24,0.249734481
