ADX:15 ATR: 0.5,-16394.6599999999,0,-475157.9000000009
ADX:15 ATR: 1,-9928.199999998847,0,-377449.8099999999
ADX:15 ATR: 1.5,-4896.499999999825,0,-235992.43000000043
ADX:15 ATR: 2,-1760.0000000002037,0,-233789.44999999995
ADX:15 ATR: 2.5,1715.4700000001903,0,-233296.29999999996
ADX:15 ATR: 3,2829.3299999999144,0,-230736.02000000002
ADX:20 ATR: 0.5,22407.169999999227,0,-606289.8600000005
ADX:20 ATR: 1,25480.23000000062,0,-389778.57999999996
ADX:20 ATR: 1.5,23686.290000001492,0,-273706.19999999955
ADX:20 ATR: 2,14963.370000000345,0,-231607.1899999993
ADX:20 ATR: 2.5,17720.59000000055,0,-275562.94999999984
ADX:20 ATR: 3,6627.64999999998,0,-279324.67999999993
ADX:25 ATR: 0.5,113899.02000000299,0,-644425.7699999992
ADX:25 ATR: 1,86252.19000000179,0,-442613.85999999964
ADX:25 ATR: 1.5,73041.11000000127,0,-398580.62999999983
ADX:25 ATR: 2,57783.85999999989,0,-326597.11999999936
ADX:25 ATR: 2.5,36807.06000000098,0,-336668.26999999915
ADX:25 ATR: 3,25245.50000000038,0,-243598.62999999983
ADX:30 ATR: 0.5,163343.4499999974,0,-620949.4299999988
ADX:30 ATR: 1,108994.73999999867,0,-442849.2100000022
ADX:30 ATR: 1.5,106599.47000000309,0,-372379.15999999945
ADX:30 ATR: 2,82051.39999999905,0,-409854.4900000001
ADX:30 ATR: 2.5,57990.01000000016,0,-322855.0700000004
ADX:30 ATR: 3,50260.35999999924,0,-276100.7799999997
ADX:35 ATR: 0.5,215010.5799999949,0,-966202.4599999993
ADX:35 ATR: 1,144886.790000003,0,-598109.2199999989
ADX:35 ATR: 1.5,125729.94000000221,0,-478740.14999999973
ADX:35 ATR: 2,105544.65000000125,0,-399613.2000000007
ADX:35 ATR: 2.5,85350.1900000012,0,-368339.4300000004
ADX:35 ATR: 3,74347.05000000165,0,-368784.04000000044
ADX:40 ATR: 0.5,186592.26999999466,0,-955725.2100000016
ADX:40 ATR: 1,220547.82999999938,0,-584478.2399999992
ADX:40 ATR: 1.5,113289.54999999666,0,-569670.8100000019
ADX:40 ATR: 2,92212.97000000053,0,-574593.13
ADX:40 ATR: 2.5,70215.68999999884,0,-406974.9200000002
ADX:40 ATR: 3,64554.839999999575,0,-360403.0000000009
ADX:45 ATR: 0.5,263533.3999999942,0,-925322.4799999988
ADX:45 ATR: 1,269679.2400000049,0,-613334.3600000018
ADX:45 ATR: 1.5,159330.82000000076,0,-623203.0599999992
ADX:45 ATR: 2,86753.2900000003,0,-547393.0699999998
ADX:45 ATR: 2.5,50642.97000000108,0,-510434.7300000002
ADX:45 ATR: 3,42542.340000000724,0,-434914.8500000004
ADX:50 ATR: 0.5,343617.3599999794,0,-1177185.0500000014
ADX:50 ATR: 1,245263.64999999892,0,-728702.6000000006
ADX:50 ATR: 1.5,180005.17999999804,0,-644319.2599999994
ADX:50 ATR: 2,111666.67999999678,0,-591728.1499999991
ADX:50 ATR: 2.5,72248.78999999812,0,-512143.8800000004
ADX:50 ATR: 3,94897.26000000164,0,-540255.2000000001
ADX:15 ATR: 0.5,-10439.71999999991,0,-475157.9000000009
ADX:15 ATR: 1,-9826.829999999456,0,-377449.8099999999
ADX:15 ATR: 1.5,-3283.7600000004095,0,-235992.43000000043
ADX:15 ATR: 2,-509.40000000008513,0,-233789.44999999995
ADX:15 ATR: 2.5,450.0500000000684,0,-233296.29999999996
ADX:15 ATR: 3,3261.66999999994,0,-230736.02000000002
ADX:20 ATR: 0.5,13789.070000000494,0,-498068.21999999933
ADX:20 ATR: 1,7239.870000000443,0,-389778.57999999996
ADX:20 ATR: 1.5,10041.510000000562,0,-273706.19999999955
ADX:20 ATR: 2,2361.040000000645,0,-231607.1899999993
ADX:20 ATR: 2.5,7404.070000000342,0,-275562.94999999984
ADX:20 ATR: 3,1811.4800000000323,0,-279324.67999999993
ADX:25 ATR: 0.5,43653.88000000136,0,-644425.7699999992
ADX:25 ATR: 1,31341.980000001713,0,-442613.85999999964
ADX:25 ATR: 1.5,33557.3400000009,0,-398580.62999999983
ADX:25 ATR: 2,29764.350000000573,0,-326597.11999999936
ADX:25 ATR: 2.5,16482.310000001045,0,-336668.26999999915
ADX:25 ATR: 3,7679.860000000132,0,-243598.62999999983
ADX:30 ATR: 0.5,64468.619999998875,0,-620949.4299999988
ADX:30 ATR: 1,59578.85999999747,0,-442849.2100000022
ADX:30 ATR: 1.5,60190.37000000036,0,-372379.15999999945
ADX:30 ATR: 2,44814.329999999245,0,-409854.4900000001
ADX:30 ATR: 2.5,29267.139999999097,0,-322855.0700000004
ADX:30 ATR: 3,22826.259999999907,0,-276100.7799999997
ADX:35 ATR: 0.5,124224.13000000098,0,-966202.4599999993
ADX:35 ATR: 1,77083.33000000103,0,-598109.2199999989
ADX:35 ATR: 1.5,84567.28000000087,0,-478740.14999999973
ADX:35 ATR: 2,71241.02000000012,0,-399613.2000000007
ADX:35 ATR: 2.5,58885.49000000024,0,-368339.4300000004
ADX:35 ATR: 3,46721.99000000056,0,-368784.04000000044
ADX:40 ATR: 0.5,87743.00999999393,0,-955725.2100000016
ADX:40 ATR: 1,145964.36999999837,0,-584478.2399999992
ADX:40 ATR: 1.5,86766.44999999646,0,-569670.8100000019
ADX:40 ATR: 2,64778.229999999865,0,-574593.13
ADX:40 ATR: 2.5,46807.53999999835,0,-406974.9200000002
ADX:40 ATR: 3,50298.58999999915,0,-360403.0000000009
