Epoch Time,Open Price,High Price,Low Price,Close Price,Volume
1713675600.000000,65087.980000,65150.220000,65087.980000,65149.910000,1.804214
1713675540.000000,65069.330000,65089.130000,65087.850000,65085.240000,0.576492
1713675480.000000,65070.720000,65115.360000,65103.810000,65087.880000,3.172651
1713675420.000000,65083.360000,65119.380000,65083.360000,65107.780000,1.892783
1713675360.000000,65083.360000,65155.980000,65137.180000,65083.360000,3.617137
1713675300.000000,65126.110000,65169.270000,65126.110000,65135.150000,2.794544
1713675240.000000,65131.330000,65170.730000,65162.620000,65131.590000,3.547534
1713675180.000000,65112.110000,65163.950000,65133.920000,65159.830000,0.981230
1713675120.000000,65135.970000,65171.840000,65171.840000,65135.970000,3.512572
1713675060.000000,65100.990000,65176.990000,65103.950000,65176.970000,1.674242
1713675000.000000,65104.990000,65163.650000,65146.710000,65104.990000,3.671413
1713674940.000000,65135.120000,65151.000000,65147.850000,65148.400000,4.161889
1713674880.000000,65112.810000,65148.900000,65112.810000,65147.860000,1.219332
1713674820.000000,65089.010000,65141.970000,65098.300000,65113.570000,2.804815
1713674760.000000,65038.210000,65106.780000,65038.220000,65100.530000,1.611306
1713674700.000000,65038.220000,65092.000000,65071.790000,65038.220000,1.209973
1713674640.000000,65067.960000,65108.620000,65097.580000,65071.820000,1.897600
1713674580.000000,65075.470000,65107.280000,65075.480000,65091.220000,2.396661
1713674520.000000,65067.810000,65096.000000,65074.530000,65075.480000,2.068755
1713674460.000000,65051.620000,65075.230000,65051.620000,65075.230000,0.727701
1713674400.000000,65031.790000,65074.890000,65045.440000,65045.790000,5.131838
1713674340.000000,65041.900000,65051.370000,65044.950000,65045.430000,0.472336
1713674280.000000,65038.570000,65058.000000,65049.180000,65045.000000,2.237732
1713674220.000000,65001.030000,65052.980000,65001.030000,65047.890000,2.987466
1713674160.000000,64976.720000,65028.730000,64994.880000,65004.800000,5.552864
1713674100.000000,64900.690000,65038.280000,65020.340000,64990.150000,5.455139
1713674040.000000,65019.790000,65043.230000,65043.230000,65019.790000,1.102068
1713673980.000000,65014.930000,65053.900000,65022.200000,65043.230000,3.649843
1713673920.000000,65006.220000,65030.220000,65019.140000,65027.480000,1.580781
1713673860.000000,65007.480000,65019.140000,65007.520000,65019.140000,0.490116
1713673800.000000,64993.410000,65024.550000,64994.880000,65012.190000,1.870910
1713673740.000000,64985.200000,65036.300000,65036.290000,64993.870000,2.180224
1713673680.000000,65010.000000,65046.840000,65030.840000,65037.230000,3.322561
1713673620.000000,65018.040000,65039.260000,65024.690000,65036.510000,2.399313
